,text,score,time,user
0,ถ้าในแต่ละวันเราทำงานในร้านเกิน 8 ชม.แต่เจ้าของร้านไม่จ่าย ot ให้กับพนักงาน พนักงานมีสิทธิ์ เรียกร้องได้ไหมครับ,0,2019-05-19 00:13:00,Anonymous
1,คนไทยด้วยกัน ร้านอาหารไทยช่วยลดราคาให้กันหน่อยจิ,0,2019-05-18 15:42:00,Anonymous
2,ถ้าพนักงานไม่สามารถทำ SSN ได้ เนื่องจาก over stayแล้วทำ ITIN ดีไหม มีประโยชน์อย่างไร,2,2019-05-18 15:26:00,Anonymous
3,ถ้าจ่ายพนักงานเป็นรายวัน ถือเป็นความผิดมั้ย และโทษคืออะไร,2,2019-05-18 15:15:00,Anonymous
4,ต้นทุนค่าใช้จ่ายอาหารคนงานประมาณ$3ต่อคนต่อมื้อมี10คนคือ$30เดิอนละ$900ปีละเกือบหมื่นเหรียญ รายงานsale tax เป็นรายปี แล้วเจ้าของร้านต้องจ่ายtaxส่วนนี้มั้ย,0,2019-05-18 15:13:00,Anonymous
5,จริงๆ มีกฏหมายใกม่ออกมาแล้ว ว่าพนักงานในครัวสามารถได้รับแบ่งทิปได้แล้ว ช่วยเช็คให้ด้วย,3,2019-05-18 15:12:00,Anonymous
6,ถ้าในกรณีที่ถูกตรวจสอบจากองค์กรควรจะตอบได้ไหมว่าเราprovide meal เราจะมีความผิดในกรณีsale tax ไหม,2,2019-05-18 15:08:00,Anonymous
7,พนักงานในครัวสามารถเรียกร้องทิปจากเจ้าของร้านได้มั้ย,3,2019-05-18 15:07:00,Anonymous
8,Sale tax ค่าอาหารจากพนักงาน เรียกเก็บย้อนหลังได้?,0,2019-05-18 15:07:00,Anonymous
9,การให้อาหารพนักงาน แจ้งเป็นค่าใช้จ่ายของร้านได้มั้ย,2,2019-05-18 15:06:00,Anonymous
10,ถ้าเราให้พนักงานกินอาหารฟรี เราต้องเรียกเก็บsales taxจากพนักงานหรือไม่?,2,2019-05-18 15:04:00,Anonymous
11,แต่ถ้าพ่อแม่ลูกของพนักงานป่วยซึ่งทำให้พนักงานมาไม่ได้ การจ่ายจะมาจาก Family medical leave พนักงานต้อง claim จากรัฐไม่ใช่มาจากเจ้าของร้านใช่ไหม,1,2019-05-18 15:03:00,Anonymous
12,ตามกฎหมายร้านอาหารต้องให้อาหารไหม,2,2019-05-18 15:03:00,Anonymous
13,การประชุมกับพนักงาน เราต้องจ่ายค่าชม.พนักงานหรือไม่,2,2019-05-18 15:02:00,Anonymous
14,"สำหรับร้านนวด
พนักงานนวด เป็น contractor หรือ employee",2,2019-05-18 15:01:00,Anonymous
15,เราสามารถปรับเวลาการทำงานของพนักงานได้ไหม ในกรณที่พนักงานมาclock in ก่อนเวลา หรือว่าลืมclock out หรือclock in มา แล้วยังไม่ยอมเริ่มทำงาน เป็นต้น,3,2019-05-18 15:00:00,Anonymous
16,"ช่วงฝึกงานพนักงานใหม่ตามกม. มีระยะเวลามั้ย,,และต้องให้ตามค่าแรงขั้นค่ำใช่มั้ย",3,2019-05-18 14:59:00,Anonymous
17,กล้องในร้านถือว่าเก็บเป็นหลักฐานการทำงานได้?,1,2019-05-18 14:56:00,Anonymous
18,เคสที่โดนฟ้องร้อง ตามสถิติ เยอะที่สุดคื่อเรื่องอะไร,2,2019-05-18 14:56:00,Anonymous
19,แล้วทางร้านฟ้องร้องพนักงานกลับได้ไหมถ้า case เราถูกต้อง,2,2019-05-18 14:56:00,Anonymous
20,ถ้าพ่อแม่พี่น้อง หรือลูกของพนักงานไม่สบายทำให้ พนักงานมาทำงานไม่ได้ เราต้องจ่ายพนักงานนั้นด้วยถูกต้องมั้ย จะรู้ได้อย่างไรว่ามันคือเรื่องจริง,2,2019-05-18 14:56:00,Anonymous
21,อธิบายความแตกต่าง full time กับpart timeนอกจากชม.งาน ในแง่ ผลประโยชน์ อื่นๆ,0,2019-05-18 14:55:00,Anonymous
22,ถ้าพนักงานมีปัญหาเรื่องเกี่ยวกับsexual harassment กันเอง เจ้าของร้านจะโดนอะไรไหม,3,2019-05-18 14:55:00,Anonymous
23,ถ้าบางวันไม่busyแล้วให้พนักงานกลับบ้านก่อนจะผิดกฎหมายไหมทั้งๆที่มีตารางเวลาที่แน่นอนแล้ว,2,2019-05-18 14:54:00,Anonymous
24,๑เราสามารถให้โบนัสพนักงานสูงสุดเท่าไหร่ ได้กี่ครั้งต่อปี,2,2019-05-18 14:53:00,Anonymous
25,ถ้าเราเหมาจ่ายพนักงาน และเราใส่ในเช็คเป็นชม. ว่าอาทิตย์ละ 40ชม. เหมือนกันทุกเช็ค จะมีปัญหาอะไรไหมคะ,4,2019-05-18 14:51:00,Anonymous
26,เราสามารถจ่ายพนักงานเป็นเงินเดือนได้กี่คน,1,2019-05-18 14:50:00,Anonymous
27,เจ้าของธุรกิจ มีสิทธิ์ถูกพนักงานฟ้องร้องในรูปแบบไหนได้บ้าง และเจ้าของร้านสามารถป้องกันตัวได้อย่างไรบ้าง,2,2019-05-18 14:48:00,Anonymous
28,Accrued sick leave hours - ถ้าพนักงานไม่ได้ใช้ ต้องจ่ายเป็นเงินกลับคืนให้พนักงานตอนสิ้นปีหรือไม่,2,2019-05-18 14:48:00,Anonymous
29,ร้านอาหารสามารถเหมาจ่ายพนักงานในครัวเป็นรายวันได้หรือไม่,4,2019-05-18 14:47:00,Anonymous
30,พนักงานทำเกิน40ชม.ต่อสัปดาห์ ทุกสัปดาห์ ถือเป็นfull timeใช่มั้ย ความแตกต่าง full time กับpart time,2,2019-05-18 14:47:00,Anonymous
31,จ่ายพนักงานเป็นsalary ยังต้องคำนึงถึงชั่วโมงทำงานรึเปล่า ว่าทำได้ไม่เกิน 40ชั้วโมงต่อสัปดาห์,3,2019-05-18 14:46:00,Anonymous
32,"การให้พนักงานที่เกียจคร้าน ออกจากงาน ต้องแจ้งล่วงหน้า กี่วัน โดยไม่ต้องจ่าย Unemployed  benefits หรือ
ค่าตกใจ",5,2019-05-18 14:45:00,Anonymous
33,ในรัฐ oregon  cap Sick leave ได้ 40 hours. ถ้าพนักงานมากกว่า 40 hours. เราบอกพนักงานว่าเราจ่ายแค่ 40 พนักงานไม่พอใจ เค้าจะสามารถsue เราได้ไหมหากเค้าเจ็บจริง,3,2019-05-18 14:43:00,Anonymous
34,มีวิธีอย่างไรให้ที่จะทำไม่ต้องจ่าย OT เพราะpartnerของเราเป็นเจ้าของอีกร้าน (ซึ่งเราไม่มีหุ้นส่วน) ที่มีชื่อเดียวกัน หุ้นส่วนต้องถือกี่ % ที่เราจะไม่ต้องจ่าย OT,3,2019-05-18 14:41:00,Anonymous
35,Does Paid sick leave cover contractors?,1,2019-05-18 14:36:00,Anonymous
36,คำว่า Paid Sick Leave จำเป็นต้องมีใบรับรองแพทย์ มั้ย,6,2019-05-18 14:29:00,Anonymous
37,Is it illegal to send someone home if one’s reach max hour (before OT start)?,2,2019-05-18 14:22:00,Anonymous
38,ถ้าพนักงานขอ sick leave และได้ทำงานครบ 40 ชั่วโมง ต่ออาทิตย์แล้ว. เวลาจ่าย sick leave นี้ต้องจ่ายในราคา overtime หรือไม,3,2019-05-18 14:20:00,Anonymous
39,จ้างพนักงานแบบ salary มีข้อจำกัดด้านการทำงานว่ากี่ชั่วโมงมั้ย,1,2019-05-18 14:08:00,Anonymous
40,ร้านอาหาร ส่วนใหญ่กำไรกี่%,6,2019-05-18 14:07:00,Anonymous
41,ค่าใช้จ่ายอะไรที่ช่วยเพิ่มค่าใช้จ่าย และหักลดภาษีแบบถูกต้องและปลอดภัยที่สุด ที่ได้ผลประโยชน์กับเจ้าของกิจการสูงสุด,6,2019-05-18 14:07:00,Anonymous
42,"เงินสดขายประมาณวันละ$100-200, เดือนละ$4-5000 ถือว่าเยอะมั้ย",1,2019-05-18 14:06:00,Anonymous
43,ช่วยชี้แจงเพิ่มได้มั้ย ว่าทำไม Corporationsถึงดีกว่า LLC,4,2019-05-18 14:05:00,Anonymous
44,จ้างคนขับรถไปส่งอาหาร ควรจ่ายเป็นรูปแบบใด คือ คนขับรถทำงานอิสระ ไม่ใช่พนักงาน คิดเป็นเที่ยวๆ,4,2019-05-18 14:03:00,Anonymous
45,ร้านอาหารขนาด เล็กพนักงาน4คน ถ้าจะให้สวัสดิการ ประกันสุขภาพ และ401k ทำได้หรือไม่อย่างไร?,4,2019-05-18 14:03:00,Anonymous
46,รายได้เงินสดที่ร้านจำเป็นไหมต้องเอาเข้าธนาคารไหมถ้าเรา report รายได้เงินสดแล้ว,2,2019-05-18 14:02:00,Anonymous
47,ถ้าเราจ้างคนมาซ่อมร้าน แล้วเค้าไม่มีบริษัทหรือ license เราจ่ายเช็คร้านได้มั้ย,3,2019-05-18 14:02:00,Anonymous
48,เงิน distribution หลังหักเงินเดือน เอาไปลงทุนได้มั้ยครับ แล้วจะปนกับเงินส่วนตัวมั้ย,1,2019-05-18 14:00:00,Anonymous
49,ที่เค้าพูดกันว่า LLC Partnership คืออะไร,1,2019-05-18 14:00:00,Anonymous
50,Donation เอามาหักภาษีได้แค่ไหน มีกฎยังไง,2,2019-05-18 14:00:00,Anonymous
51,พาพนักงานไปทานข้าว หักเป็นค่าใช้จ่ายได้ทั้งหมดมั้ย,1,2019-05-18 13:59:00,Anonymous
52,บริษัทจดทะเบียนแบบ S corp สามารจ่ายเงินเดือน แบบ set salary ได้ไหม หรือว่าต้องจ่ายเป็น ชั่วโมง อย่างเดียว,1,2019-05-18 13:58:00,Anonymous
53,ให้พนักงาน $25 หลายๆรอบได้มั้ย,2,2019-05-18 13:57:00,Anonymous
54,จดทะเบียนบริษัทในรูปแบบไหนดีค่ะที่ไม่ต้องเกี่ยวกับ personal liability ค่ะ,2,2019-05-18 13:56:00,Anonymous
55,สำหรับร้านอาหาร Food cost กับ Wage ควรอยู่ที่ประมาณกี่เปอร์เซ็นต์ของยอดขาย,2,2019-05-18 13:52:00,Anonymous
56,"ใช้บัตนเครดิตส่วนบุคคลจ่ายค่าใช้จ่ายของร้านและใช้บัญชีcheckingของร้านชำระบัตรเครดิต,จะมีปัญหามั้ย",1,2019-05-18 13:52:00,Anonymous
57,E2 visa investor จ่ายนี้จ่ายภาษีถูกต้องเต็มที่ จะได้สิทธิประโยชน์อะไรคืนบ้าง เพราะเราไม่ได้เป็นgreen card หรือcitizen,2,2019-05-18 13:51:00,Anonymous
58,จดทะเบียนเป็น LLC เจ้าของกิจการสามารถจ่ายเงินเดือนให้ตนเองได้หรือไม่ค่ะ,0,2019-05-18 13:51:00,Anonymous
59,$25 gift ให้พนักงาน รวม sale tax มั้ยคะ,1,2019-05-18 13:51:00,Anonymous
60,ค่าคอมมิชชั่น จากบริษัทส่งอาหาร Third Party จะหักค่าใช้จ่ายในรูปไหน เพราะไม่มีรายงานเป็นค่าใช้จ่ายใน Bank Statement ทั่วไป,1,2019-05-18 13:51:00,Anonymous
61,กรณีร้าน เช่าบ้านให้พนักงาน หักเป็รค่าใช้จ่ายร้านได้เต็มจำนวนหรือไม่? มีลิมิตมั้ย,4,2019-05-18 13:50:00,Anonymous
62,ให้ของขวัญพนักงาน $25 ต้องให้ทุกคนเสมอภาคกันทุกคนมั้ย ต้องระบุชื่อพนักงานมั้ย,1,2019-05-18 13:49:00,Anonymous
63,"สำหรับธุรกิจให้เช่าบ้าน ควรทำ LLC, Corp หรือ S crop ดีครับ?",1,2019-05-18 13:49:00,Anonymous
64,"เงินสดที่ขายทุกวัน ต้องนำเข้าธนาคารอย่างไร,",3,2019-05-18 13:49:00,Anonymous
65,เงินเดือนของผู้บริหารสำหรับ s-Corp ต้องอยู่ที่กี่เปอร์เซ็นต์ของยอดขายครับ,1,2019-05-18 13:48:00,Anonymous
66,การคิดภาษีเกี่ยวกับค่าแรงปกติ และ Over time ต่างกันแค่ไหน,0,2019-05-18 13:48:00,Anonymous
67,วีซ่า e2 ตอนนี้เป็น LLC สามารถเปลี่ยนเป็น s-corp ได้หรือไม่,1,2019-05-18 13:47:00,Anonymous
68,ทุกวันนี้ยังใช้ Excel ในการทำ bookkeeping ซึ่งเป็นวิธีที่manualและเสียเวลามากๆ มีโปรแกรมการทำบัญชีอันไหนที่แนะนำบ้างคะ และมันจะช่วยประหยัดเวลาได้เยอะมากแค่ไหน,1,2019-05-18 13:47:00,Anonymous
69,ซื้อบ้าน/รถ เอาลงบ/ชบริษัทได้มั้ย แล้ว lease car ดีกว่าซื้อรึเปล่า,2,2019-05-18 13:40:00,Anonymous
70,ในกรณีที่แต่งงานแล้วสัมภาษณ์ไม่ผ่านเคสdeclined สามารถทต่อwork permit ได้มั้ย,0,2019-05-18 12:22:00,Anonymous
71,รอสัมภาษณ์ Green Card Employment Base อยู่และต้องการเดินทางออกนอกประเทศ จะกลับเข้ามาได้มั้ย,1,2019-05-18 12:21:00,Anonymous
72,ถ้าเรามี SSN แต่ไม่มี work permit แล้วมีคนเอาเลขของเราไปใช้ แต่ไม่ยื่นภาษี จะเป็นอะไรไหม,1,2019-05-18 12:19:00,Anonymous
73,คนงานE2 ที่ ได้work permit ขอใบเขียวอยู่ ย้ายร้านไปทำร้านอื่นได้มั้ย,0,2019-05-18 12:19:00,Anonymous
74,คนที่เราเอา E2 เข้ามา ไปทำร้านอื่นได้มั้ย แล้วเรามีสิทธ์ส่งเค้ากลับไทยได้มั้ย,2,2019-05-18 12:16:00,Anonymous
75,"มีร้านเอาเลข โซเซียล เราไปใช้ (เราไม่ได้ทำงานร้านนั้น ) นำ ไป จ่ายภาษี ให้ กับคนที่ทำงานผิดกฎหมาย จะมีผลยังไง
ร้านปิดไปแล้ว 5 ปี ..ยังจะมีผลกับเราไหม",3,2019-05-18 12:13:00,Anonymous
76,ระหว่างที่รอเรียกสัมภาษณ์ Green Card แล้ว Work Permit หมดอายุ สามารถต่ออายุได้มั้ย และต่อได้กี่ครั้ง,2,2019-05-18 12:12:00,Anonymous
77,จัดตั้งรูปแบบบริษัทแบบไหนที่ปลอดภัยกับเจ้าของร้าน,3,2019-05-18 12:11:00,Anonymous
78,E2 investor ขอ greencard ได้ไหม ขอ รายละเอียดคร่าวๆ,0,2019-05-18 12:10:00,Anonymous
79,"เคยเป็น army reserve และได้เงินอยู่ปีกว่าๆ
แต่ยังไม่ได้เข้าแคมป์เพื่อได้เปลี่ยนสถานะเป็น US citizen (รอนานจนหมดสัญยา 2 ปี) ตอนนั้นไม่มี work permit จะมีปัญหาไหม",0,2019-05-18 12:08:00,Anonymous
80,ได้ ssn มา 20 ปีแล้วแต่ว่า บ. Payroll ณ ปัจจุบันแจ้งว่า number ไม่ตรง ต้องทำอย่างไร,2,2019-05-18 12:08:00,Anonymous
81,"ถ้ามี คนงาน ที่มาวีซ่าท่องเที่ยว ที่อยู่เกิน แล้ว
จะทำอย่างไรให้มีสถานะที่ถูกกฏหมายได้",2,2019-05-18 12:08:00,Anonymous
82,ร้านต้องการขอ Green Card ให้สำหรับตำแหน่ง Restaurant Manager สามารถทำได้มั้ย,3,2019-05-18 12:07:00,Anonymous
83,เจ้าของกิจการสามารถให้เงินเดือนตนเองได้ไหมคะ,2,2019-05-18 12:07:00,Anonymous
84,"ที่บอกว่าต้องมีกำไรสามหมื่นสองพัน ถ้าพนักงานเป็น e2 แล้วมีเงินเดือน 40,000 จะเอามารวมเป็นกำไรได้มั้ย",2,2019-05-18 12:05:00,Anonymous
85,ขอรายละเอียดPOS. software ที่ผิดกฎหมาย ที่คุณหน่อยพูดถึง,0,2019-05-18 12:05:00,Anonymous
86,เกียวกับสัญญาเช่าร้าน ควรจ้างทนายดูแลให้หรือไม่ ค่ารีวิวเอกสารประมาณเท่าไหร่,2,2019-05-18 12:04:00,Anonymous
87,เรา สามารถ subcontract คนที่มี itin number เอามาทำ ในครัวได้ไหม?,0,2019-05-18 12:04:00,Anonymous
88,ถ้าเป็นพนักงานเสิร์ฟ จะมีโอกาสได้วีซ่า E-2 หรือ Green Card ไหมคะ หรือได้แต่คนครัว,2,2019-05-18 12:03:00,Anonymous
89,ได้ข่าวว่าสถานที่เป็นศาสนาเช่นวัดหรือโบสถ์ immigration ไม่สามารถเข้ามาจับได้ จริงหรือไม่,2,2019-05-18 11:48:00,Anonymous
90,"Do we need to keep a copy of employees’ permanent resident card, work authorization card, etc? What if they do not allow the employer to make a copy?",2,2019-05-18 11:39:00,Anonymous
91,ถ้าร้านเราจ้างคนงานที่ผิดกฎหมาย แต่เราไม่รู้ว่าเค้าผิดเพราะให้เอกสารปลอมกับเรา เราจะมีโทษความผิดอะไรบ้าง,2,2019-05-18 11:36:00,Anonymous
92,คนที่จะทำ green card ต้องมีคุณสมบัติอย่างไรคะ,1,2019-05-18 11:25:00,Anonymous
93,เข้ามาด้วยวีซ่าท่องเที่ยว มีระยะเวลาในการทำเรื่อง green card พอมั้ยคะ,1,2019-05-18 11:24:00,Anonymous
94,How to start investment visa in USA ?,0,2019-05-18 11:09:00,Anonymous
95,ถ้าร้านขาดคนในครัว คุณตรีรัตน์มีวิธีหาคนงานอย่างไร,0,2019-05-18 11:09:00,Anonymous
96,เจ้าของกิจการสามารถจ่ายเงินเดือนตนเองได้เหรอคะ,0,2019-05-18 11:08:00,Anonymous
97,คุณตรีรัตน์มีปัญหาพนักงานลาออกหลังจากได้ใบเขียวที่ทางร้านยื่นให้ไม๊คะ รับมืออย่างไร และใช้เกณฑ์อะไรในการเลือกว่าจะขอใบให้ใคร,0,2019-05-18 11:02:00,Anonymous
98,ถ้าเราจ่ายเงินสดให้พนักงาน แต่ไม่เคยลบยอดขาย มีความผิดไม๊คะ?,0,2019-05-18 10:53:00,Anonymous
99,จัดงานนี้ทุกๆปีรึป่าวครับ,1,2019-05-18 10:22:00,Anonymous
